//ID	Name	Color	Required Item 0	Required Item 1	Required Item 2	Required Item 3	Required Gold	Model	Failed Model	For Lance?	For Carsise?	For Phyllis?	For Ami?
1	Hairdo 1	Red	1807,1	1808,1	1797,5	1806,1	100000	2009	1999	1	0	0	0
2	Hairdo 1	Orange	1807,1	1808,1	1798,5	1806,1	100000	2010	1999	1	0	0	0
3	Hairdo 1	Yellow	1807,1	1808,1	1799,5	1806,1	100000	2000	1999	1	0	0	0
4	Hairdo 1	Cyan	1807,1	1808,1	1800,5	1806,1	100000	2011	1999	1	0	0	0
5	Hairdo 1	Green	1807,1	1808,1	1801,5	1806,1	100000	2012	1999	1	0	0	0
6	Hairdo 1	Blue	1807,1	1808,1	1802,5	1806,1	100000	2013	1999	1	0	0	0
7	Hairdo 1	Purple	1807,1	1808,1	1803,5	1806,1	100000	2014	1999	1	0	0	0
8	Hairdo 2	Red	1807,1	1808,1	1797,5	1804,1	100000	2001	1999	1	0	0	0
9	Hairdo 2	Orange	1807,1	1808,1	1798,5	1804,1	100000	2015	1999	1	0	0	0
10	Hairdo 2	Yellow	1807,1	1808,1	1799,5	1804,1	100000	2016	1999	1	0	0	0
11	Hairdo 2	Cyan	1807,1	1808,1	1800,5	1804,1	100000	2017	1999	1	0	0	0
12	Hairdo 2	Green	1807,1	1808,1	1801,5	1804,1	100000	2018	1999	1	0	0	0
13	Hairdo 2	Blue	1807,1	1808,1	1802,5	1804,1	100000	2019	1999	1	0	0	0
14	Hairdo 2	Purple	1807,1	1808,1	1803,5	1804,1	100000	2020	1999	1	0	0	0
15	Hairdo 3	Red	1807,1	1808,1	1797,5	1805,1	100000	2021	1999	1	0	0	0
16	Hairdo 3	Orange	1807,1	1808,1	1798,5	1805,1	100000	2022	1999	1	0	0	0
17	Hairdo 3	Yellow	1807,1	1808,1	1799,5	1805,1	100000	2002	1999	1	0	0	0
18	Hairdo 3	Cyan	1807,1	1808,1	1800,5	1805,1	100000	2023	1999	1	0	0	0
19	Hairdo 3	Green	1807,1	1808,1	1801,5	1805,1	100000	2024	1999	1	0	0	0
20	Hairdo 3	Blue	1807,1	1808,1	1802,5	1805,1	100000	2025	1999	1	0	0	0
21	Hairdo 3	Purple	1807,1	1808,1	1803,5	1805,1	100000	2026	1999	1	0	0	0
22	Hairdo 4	Red	1807,1	1808,1	1797,5	1806,1	100000	2027	1999	1	0	0	0
23	Hairdo 4	Orange	1807,1	1808,1	1798,5	1806,1	100000	2028	1999	1	0	0	0
24	Hairdo 4	Yellow	1807,1	1808,1	1799,5	1806,1	100000	2029	1999	1	0	0	0
25	Hairdo 4	Cyan	1807,1	1808,1	1800,5	1806,1	100000	2030	1999	1	0	0	0
26	Hairdo 4	Green	1807,1	1808,1	1801,5	1806,1	100000	2031	1999	1	0	0	0
27	Hairdo 4	Blue	1807,1	1808,1	1802,5	1806,1	100000	2003	1999	1	0	0	0
28	Hairdo 4	Purple	1807,1	1808,1	1803,5	1806,1	100000	2032	1999	1	0	0	0
29	Hairdo 5	White	1807,1	1808,1	4610,5	1804,1	100000	2004	1999	1	0	0	0
30	Hairdo 5	Red	1807,1	1808,1	1797,5	1804,1	100000	2033	1999	1	0	0	0
31	Hairdo 5	Orange	1807,1	1808,1	1798,5	1804,1	100000	2034	1999	1	0	0	0
32	Hairdo 5	Yellow	1807,1	1808,1	1799,5	1804,1	100000	2035	1999	1	0	0	0
33	Hairdo 5	Cyan	1807,1	1808,1	1800,5	1804,1	100000	2036	1999	1	0	0	0
34	Hairdo 5	Green	1807,1	1808,1	1801,5	1804,1	100000	2037	1999	1	0	0	0
35	Hairdo 5	Blue	1807,1	1808,1	1802,5	1804,1	100000	2038	1999	1	0	0	0
36	Hairdo 5	Purple	1807,1	1808,1	1803,5	1804,1	100000	2039	1999	1	0	0	0
37	Hairdo 6	Black	1807,1	1808,1	4607,5	1805,1	100000	2005	1999	1	0	0	0
38	Hairdo 6	Red	1807,1	1808,1	1797,5	1805,1	100000	2040	1999	1	0	0	0
39	Hairdo 6	Orange	1807,1	1808,1	1798,5	1805,1	100000	2041	1999	1	0	0	0
40	Hairdo 6	Yellow	1807,1	1808,1	1799,5	1805,1	100000	2042	1999	1	0	0	0
41	Hairdo 6	Cyan	1807,1	1808,1	1800,5	1805,1	100000	2043	1999	1	0	0	0
42	Hairdo 6	Green	1807,1	1808,1	1801,5	1805,1	100000	2044	1999	1	0	0	0
