//ID	Name	1?	2?	3?	4?	5?	6?	7?	8?	9?
10	Dual Shot Path of Flight Element	1	runningattack.eff,,,,,,,	10	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
11	Dispersion Bullet Path of Flight Element	1	04000002.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	6	0	0
12	Penetrating Bullet Path of Flight	1	04000003.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	5	0	0
13	Magma Bullet Path of Flight	2	04000004.eff,04000004(0).eff,,,,,,	10	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	4	0	0
14	Ninja Blind Path of Flight	2	04000005.eff,04000005(0).eff,,,,,,	10	1	4000005,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	0	0	0
15	Ninja Venom Tooth Path of Flight	2	04000005.eff,04000005(0).eff,,,,,,	10	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	0	0	0
16	Astro Strike Path of Flight	1	04000007.eff,,,,,,,	10	1	4000007,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	0	0	0
17	Cripple Path of Flight	1	04000008.eff,,,,,,,	10	1	4000008,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	5	0	0
18	Illusion Slash Path of Flight	1	04000009.eff,,,,,,,	15	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	3	0	0
19	Numb Path of Flight	1	04000010.eff,,,,,,,	10	1	4000010,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	0	0	0
20	Frozen Arrow Path of Flight	2	icearrowf.eff,icearrowf(a).eff,,,,,,	10	1	icearrowf,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	icearrowh
21	Spiritual Bolt Path of Flight	1	hpushf02.eff,,,,,,,	10	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	hpusht
22	Arrow	1	arrow.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
23	Ship	1	04000103.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	3	0	0
24	Octopus Ink	1	04000307.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
25	Dual Shot Path of Flight Element	1	runningattack2.eff,,,,,,,	10	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
26	Dual Shot Path of Flight Element 2	1	runningattack3.eff,,,,,,,	10	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
27	Saliva of Lizard	1	04000308.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
28	Treant Effect	1	stone.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
29	Panda Effect	1	04000314.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
30	Pearl Effect	1	04000317.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
31	Terra Elder Effect	1	04000315.eff,,,,,,,	3	0	,,,,,,,	-1,-1,-1,-1,-1,-1,-1,-1	2	0	0
