//ID	Name	Model	Propeller 1	Propeller 2	Propeller 3	Propeller 4	Price	Durability	Durability Recovery	Defense	Physical Resist	Min Attack	Max Atatck	Attack Range	Reloading Time	Cannon Area of Effect	Cargo Capacity	Fuel	Fuel Consumption	Attack Speed	Movement Speed	Description	Remark
1	Titanic Hull	2000000000	0	0	0	0	31237	4286	0	78	20	0	0	0	0	0	0	200	2	0	0	0	0
2	Silver Dolphin	2000010000	0	0	0	0	46200	5000	0	89	20	0	0	0	0	0	0	200	3	0	0	0	0
3	Great White Shark	2000020000	0	0	0	0	65362	5731	0	100	20	0	0	0	0	0	0	200	3	0	0	0	0
4	Frock Hull	2001000000	0	0	0	0	31237	6082	0	127	25	0	0	0	0	0	0	200	2	0	0	0	0
5	Goddess	2001010000	0	0	0	0	46200	7441	0	155	25	0	0	0	0	0	0	200	3	0	0	0	0
6	Titanium Hull	2002000000	0	0	0	0	65362	8945	0	183	25	0	0	0	0	0	0	200	3	0	0	0	0
7	Ark	2003000000	0	0	0	0	0	1000	0	20	20	0	0	0	0	0	0	200	2	0	0	0	0
8	Normal Bow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
9	Hard Bow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
10	Special Bow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
11	Sharp Bow	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
12	Long Bow	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
13	Colliding Bow	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
14	Collision Bow	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
15	Semi Auto Oar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
16	Boiler Engine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
17	Steam Dual Pontoon	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0
18	Steam Buoy	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0
19	Bio Thrash 80	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0
20	Bio Thrash 90	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0
21	Turbo Propeller	2000000002	22	0	0	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0
22	Demon Propeller 01	2000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Silver Propeller 01	2000010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Silver Propeller 02	2000010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Silver Propeller 03	2000010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Silver Propeller 04	2000010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	White Shark Propeller 01	2000020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	White Shark Propeller 02	2000020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Torrent Propeller 01	2001000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
