//ID	File	Name	Image Name	Flag	ObjTypeID	Dummy	Dummy 2	1?	2?	3?	4?
1	wave1.par	º£ÀË	º£ÀË	0	0	0	-1	1	0.0	0.0	-1.0
2	dian.par	µçÇò	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
3	shuihua01.par	´óË®»¨	´óË®»¨	0	0	0	-1	0	0.0	0.0	-1.0
4	shuihua02.par	Ë®»¨	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
5	guang.par	¹â	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
6	blacksmoke.par	ºÚÑÌ	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
7	xieguang.par	Ğ±¹â	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
8	add.par	Îí	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
9	firefly.par	Ó©»ğ³æ	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
10	00000002.par	»ğÑæ	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
11	00000003.par	»ğÑæ2	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
12	wave2.par	º£ÀË2	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
13	whitesmoke.par	°×ÑÌ	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
14	snow.par	Ñ©	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
15	00000007.par	É³á°»ğÑæ	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
16	sali.par	·çÉ³	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
17	ufo2.par	Áé»ğ2	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
18	ufo.par	Áé»ğ	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
19	fjq.par	ÎïÖÊ·Ö½âÆ÷	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
20	scq.par	ÎïÖÊÉú³ÉÆ÷	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
21	niurou1.par	ÑæÄ§	º£ÀË	0	0	1,2,3,4,7,11,13,14	-1	0	0.0	0.0	-1.0
22	niurou2.par	ÑæÄ§	º£ÀË	0	0	5,6,8,9,10,12	-1	0	0.0	0.0	-1.0
23	bigchibang.par	¸¸ÉñÎ¬¶û	º£ÀË	1	0	24	-1	0	0.0	0.0	-1.0
95	00000001.par	30Ğ±¹â	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
96	01030011.par	µÀ¾ßÌØĞ§	º£ÀË	0	0	0	-1	0	0.0	0.0	-1.0
97	waterwave1.par	Ë®²¨	º£ÀË	1	0	0	-1	0	0.0	0.0	-1.0
98	waterwave2.par	Ë®²¨2	º£ÀË	1	0	0	-1	0	0.0	0.0	-1.0
99	miss2.par	±¬×Ö	º£ÀË	0	0	0	1	0	0.0	0.0	-1.0
100	wolf.par	ÀÇº¿Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
101	01030006.par	ÀÇº¿ÃüÖĞ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
102	foot02.par	»¢Ğ¥Ê©·Å	º£ÀË	0	0	0	-1	20	1.0	0.0	-1.0
103	foot.par	»¢Ğ¥ÃüÖĞ	º£ÀË	0	0	-2	1	0	1.0	0.0	-1.0
